[1]-Total no of Return statement,[2]-Total no of Control Statement,[3]-Total no of Allocation instruction,[4]-Total no of Load Instructions,[5]-Total no of Store Instructions,[6]-Total no of Multiplication (Float Datatype) Operation,[7]-Total no of Addition(Integer Datatype) Instruction,[8]-Total no of Multiplication(Integer Datatype) Instruction,[9]-Total no of Division(Float Datatype) instruction,[10]-Total no of Division(Integer Datatype) instruction,[11]-Total no of Condition Check instruction,[12]-Total no of Addition(Float Datatype) instruction,[13]-Total no of Addition(Integer Datatype) instruction,[14]-Total no of Subtraction(Float Datatype) instruction,[15]-Total no of Subtraction(Integer Datatype) instruction,[16]-Total no of Function Call instruction,[17]-Total no of Functions,[18]-Total no of Blocks,[19]-Total no of Instructions,[20]-Total no of Float Operation,[21]-Total no of Integer Operation,[22]-Total no of Loop Operation,[23]-Total no of Loop,[24]-Matrix Size,[25]-Speed up
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12543,160.58700000000002
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12545,153.48
1,3,0,2,1,0,4,3,0,0,1,0,4,0,0,3,5,4,26,8,17,0,0,12642,147.94299999999998
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,10000,0.06494130000000001
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,10500,0.0574187
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,11000,0.065363
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,11500,0.07060239999999998
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,12000,0.077217
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,12500,0.0883013
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,13000,0.0983727
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,13500,0.108057
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,14000,0.11666300000000002
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,14500,0.11803399999999999
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,15000,0.133971
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,15500,0.13738499999999998
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,16000,0.152642
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,16500,0.154757
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,17000,0.161928
1,0,0,1,1,0,2,2,0,0,0,0,2,0,0,2,4,1,15,6,16,0,0,17500,0.177228
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,10000,0.0485057
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,10500,0.0531387
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,11000,0.063989
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,11500,0.071464
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,12000,0.0729477
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,12500,0.089379
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,13000,0.090474
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,13500,0.0943437
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,14000,0.10676
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,14500,0.110054
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,15000,0.129994
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,15500,0.136527
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,16000,0.143768
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,16500,0.15140399999999998
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,17000,0.162407
1,0,0,2,1,0,1,1,0,0,0,1,1,0,0,2,4,1,13,8,13,0,0,17500,0.172004
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,10000,0.045260699999999994
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,10500,0.054048
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,11000,0.0563507
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,11500,0.0649754
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,12000,0.0755697
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,12500,0.08374939999999999
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,13000,0.0854757
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,13500,0.100161
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,14000,0.112525
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,14500,0.120577
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,15000,0.128828
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,15500,0.131475
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,16000,0.143312
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,16500,0.15516
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,17000,0.16095399999999999
1,0,0,2,1,0,1,1,0,0,0,0,1,1,0,2,4,1,13,8,13,0,0,17500,0.17044700000000002
